Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,Headlines,Headline_List,negative,neutral,positive
2021-01-02,130.7055206,134.1399994,135.3800049,130.9299927,133.75,106239800,0.016520336,132.5832992,130.5554533,AAPL,Apple Inc,"Apple Inc . stock rises Monday , still underperforms market","['Apple Inc . stock rises Monday , still underperforms market']",8.661078027216718e-05,0.9761018753051758,0.023811541497707367
2021-01-03,124.7041321,127.7900009,127.9300003,122.7900009,123.75,116307900,0.053851166,122.8305307,126.4930464,AAPL,Apple Inc,"Apple Inc . stock rises Monday , outperforms market | Dow up 586 points on gains for Boeing , Apple Inc . shares | Dow 575 - point rally led by gains in Boeing , Apple Inc . stocks | Dow soars nearly 675 points on gains for Boeing , Apple Inc . stocks | Frontline Active Stocks in Broker Choice : Charter Communications ( NASDAQ : CHTR ), Apple ( NASDAQ : AAPL ) ","['Apple Inc . stock rises Monday , outperforms market', 'Dow up 586 points on gains for Boeing , Apple Inc . shares', 'Dow 575 - point rally led by gains in Boeing , Apple Inc . stocks', 'Dow soars nearly 675 points on gains for Boeing , Apple Inc . stocks', 'Frontline Active Stocks in Broker Choice : Charter Communications ( NASDAQ : CHTR ), Apple ( NASDAQ : AAPL )']",0.20001664757728577,0.7999809384346008,2.414290065644309e-06
2021-01-04,120.029808,123.0,124.1800003,122.4899979,123.6600037,75089100,0.006958667,118.7966206,119.5969895,AAPL,Apple Inc,"Apple Inc . stock rises Thursday , still underperforms market | Apple Inc . ( NASDAQ : AAPL ), ( AMC ) - Miley Cyrus Is Doing A $1M Giveaway For Cash App Users To Own Their Favorite Stock | Facebook , Inc . ( NASDAQ : FB ), Apple Inc . ( NASDAQ : AAPL ) - united kingdom Antitrust Watchdog Launches Probe On Facebook $400M Giphy Acquisition : Report","['Apple Inc . stock rises Thursday , still underperforms market', 'Apple Inc . ( NASDAQ : AAPL ), ( AMC ) - Miley Cyrus Is Doing A $1M Giveaway For Cash App Users To Own Their Favorite Stock', 'Facebook , Inc . ( NASDAQ : FB ), Apple Inc . ( NASDAQ : AAPL ) - united kingdom Antitrust Watchdog Launches Probe On Facebook $400M Giphy Acquisition : Report']",0.6663343906402588,0.3289574980735779,0.004708105232566595
2021-01-06,121.4848938,124.2799988,125.3499985,123.9400024,125.0800018,67637100,-0.002648265,122.6142471,123.8771778,AAPL,Apple Inc,"Apple Inc . stock falls Tuesday , underperforms market | Apple Inc . ( NASDAQ : AAPL ), LG Display Co ., Limited American Depositary Shares ( NYSE : LPL ) - Rumor Has It : Apple To Debut OLED Displays In iPad Next Year","['Apple Inc . stock falls Tuesday , underperforms market', 'Apple Inc . ( NASDAQ : AAPL ), LG Display Co ., Limited American Depositary Shares ( NYSE : LPL ) - Rumor Has It : Apple To Debut OLED Displays In iPad Next Year']",0.9998941421508789,3.578440009732731e-05,7.009074033703655e-05
2021-01-07,134.1827545,137.2700043,137.3300018,135.7599945,136.6000061,52485800,0.002263407,132.2483475,129.0729688,AAPL,Apple Inc,Apple Inc . stock outperforms market on strong trading day,['Apple Inc . stock outperforms market on strong trading day'],1.2355479839243344e-06,0.9999984502792358,2.9883503316341375e-07
2021-01-09,149.3033447,152.5099945,154.9799957,152.3399963,152.8300018,80313700,0.004478644,147.5632704,145.5813662,AAPL,Apple Inc,,[],0.0,1.0,0.0
2021-01-10,139.6506958,142.6499939,142.9199982,139.1100006,141.8999939,94639600,0.008127345,140.5098622,143.0307576,AAPL,Apple Inc,"Apple Inc . stock rises Friday , still underperforms market","['Apple Inc . stock rises Friday , still underperforms market']",8.008286386029795e-05,0.9768282175064087,0.0230916365981102
2021-01-11,145.8280029,148.9600067,149.6999969,147.8000031,148.9900055,74588300,-0.005607501,146.2071845,144.3508428,AAPL,Apple Inc,"Apple Inc . stock falls Monday , underperforms market | Apple Inc India revenue doubles to around $3 . 3 billion : Analysts","['Apple Inc . stock falls Monday , underperforms market', 'Apple Inc India revenue doubles to around $3 . 3 billion : Analysts']",0.49984174966812134,0.5000637173652649,9.452476660953835e-05
2021-01-12,161.5409698,164.7700043,170.3000031,164.5299988,167.4799957,152052500,-0.003206443,158.2803751,153.3214319,AAPL,Apple Inc,"Apple Inc . stock falls Wednesday , still outperforms market | Apple Inc . [ AAPL ] Stock trading around $165 . 30 per share : What Next ?  | Dow rallies 350 points on gains for Apple Inc ., Johnson & Johnson shares | Apple ( AAPL ): Only Tech Stock with Good Growth as Omicron Fears Rise","['Apple Inc . stock falls Wednesday , still outperforms market', 'Apple Inc . [ AAPL ] Stock trading around $165 . 30 per share : What Next ?', 'Dow rallies 350 points on gains for Apple Inc ., Johnson & Johnson shares', 'Apple ( AAPL ): Only Tech Stock with Good Growth as Omicron Fears Rise']",0.37459713220596313,0.555149495601654,0.070253387093544
2021-01-13,127.5386963,130.8899994,131.4499969,128.4900055,128.7599945,88636800,0.016226614,126.5813656,126.3395859,AAPL,Apple Inc,,[],0.0,1.0,0.0
2021-01-14,125.6094055,128.9100037,131.0,128.7599945,130.8000031,90221800,-0.015127101,126.3383756,126.2732059,AAPL,Apple Inc,"Apple Inc . stock falls Thursday , underperforms market | Apple Inc . ( NASDAQ : AAPL ), HYUNDAI MOTOR REG S ( HYMTF ) - Study : Investors Say Tesla , Apple And Microsoft Were 2020 Top Stocks | TSMC Fourth Quarter Profit Rises 23 To Record High On Work From Home Iphone Boost | Apple Inc . ( NASDAQ : AAPL ), Amazon . com , Inc . ( NASDAQ : AMZN ) - Delta , BlackRock Both Up Early On As Investors Cheer Earnings Results","['Apple Inc . stock falls Thursday , underperforms market', 'Apple Inc . ( NASDAQ : AAPL ), HYUNDAI MOTOR REG S ( HYMTF ) - Study : Investors Say Tesla , Apple And Microsoft Were 2020 Top Stocks', 'TSMC Fourth Quarter Profit Rises 23 To Record High On Work From Home Iphone Boost', 'Apple Inc . ( NASDAQ : AAPL ), Amazon . com , Inc . ( NASDAQ : AMZN ) - Delta , BlackRock Both Up Early On As Investors Cheer Earnings Results']",0.46532607078552246,0.5344966650009155,0.00017729547107592225
2021-01-15,123.8846893,127.1399994,130.2200012,127.0,128.7799988,111598500,-0.013730789,125.724954,126.056068,AAPL,Apple Inc,"Apple Inc . stock falls Friday , underperforms market | Apple Inc . stock falls Thursday , underperforms market | BlackBerry ( NASDAQ : BB ), Apple Inc . ( NASDAQ : AAPL ) - Why BlackBerry Stock Spiked 37 % Today","['Apple Inc . stock falls Friday , underperforms market', 'Apple Inc . stock falls Thursday , underperforms market', 'BlackBerry ( NASDAQ : BB ), Apple Inc . ( NASDAQ : AAPL ) - Why BlackBerry Stock Spiked 37 % Today']",0.6654151678085327,0.3336096704006195,0.0009752188343554735
2021-01-19,124.5570221,127.8300018,128.7100067,126.9400024,127.7799988,90757300,0.005427085,125.432971,125.9197911,AAPL,Apple Inc,"Apple Inc . stock rises Tuesday , still underperforms market | Geofencing Market Exclusive Profitable Comprehensive Report | Apple Inc , Bluedot Innovation Pty Ltd | AAPL Stock Slightly Up , Apple Sued for Failing to Remove Telegram from App Store","['Apple Inc . stock rises Tuesday , still underperforms market', 'Geofencing Market Exclusive Profitable Comprehensive Report', 'Apple Inc , Bluedot Innovation Pty Ltd', 'AAPL Stock Slightly Up , Apple Sued for Failing to Remove Telegram from App Store']",0.5013364553451538,0.3238367438316345,0.17482680082321167
2021-01-20,128.6494904,132.0299988,132.4900055,128.5500031,128.6600037,104319500,0.032856183,126.2371009,126.1679456,AAPL,Apple Inc,"iShares S & P Global Clean Energy Index Fund ( NASDAQ : ICLN ), Apple Inc . ( NASDAQ : AAPL ) - Stock Market Winners , Losers From Biden Finance Nominations | Apple Inc . stock outperforms market on strong trading day | Apple Inc . ( NASDAQ : AAPL ), Applied Materials , Inc . ( NASDAQ : AMAT ) - 4 Key Trends That Could Shake Up Semiconductor Stocks In 2021 | Apple Tim Cook Probably Fine Not Taking Elon Musk Tesla Call","['iShares S & P Global Clean Energy Index Fund ( NASDAQ : ICLN ), Apple Inc . ( NASDAQ : AAPL ) - Stock Market Winners , Losers From Biden Finance Nominations', 'Apple Inc . stock outperforms market on strong trading day', 'Apple Inc . ( NASDAQ : AAPL ), Applied Materials , Inc . ( NASDAQ : AMAT ) - 4 Key Trends That Could Shake Up Semiconductor Stocks In 2021', 'Apple Tim Cook Probably Fine Not Taking Elon Musk Tesla Call']",0.465821236371994,0.2591659426689148,0.2750128209590912
2021-01-21,133.3655701,136.8699951,139.6699982,133.5899963,133.8000031,120150900,0.036658363,128.0192182,126.8222751,AAPL,Apple Inc,Apple Inc . stock outperforms market on strong trading day,['Apple Inc . stock outperforms market on strong trading day'],1.2355479839243344e-06,0.9999984502792358,2.9883503316341375e-07
