Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,negative,neutral,positive
2021-01-04,-0.6704189204818266,-0.6027729764452544,-0.5925182093034481,-0.6463595141645105,-0.5185123962850412,0.8526029824539176,,-0.6732253975767499,-0.6779246020190288,V,VISA Inc.,,,
2021-01-05,-0.7703547061511764,-0.7100690062996383,-0.6520845317621846,-0.6660614611385236,-0.6486041634509024,-0.1178780308961605,-1.0763408650492394,-0.6986784093154034,-0.6875323070165954,V,VISA Inc.,,,
2021-01-06,-0.8284712480466747,-0.7724657542800973,-0.7282900619598868,-0.717614104089113,-0.7314796504148993,-0.0231825425842944,-0.6495310656749242,-0.7325700833009102,-0.7018538380047937,V,VISA Inc.,,,
2021-01-07,-0.7918790455754007,-0.7331788196708947,-0.7599034903409869,-0.7133457330430927,-0.7843089632333495,1.035408893917181,0.3562647862963972,-0.7486690365509724,-0.7113554817497485,V,VISA Inc.,,,
2021-01-08,-0.7414508429260643,-0.6790356124484652,-0.729954033511066,-0.6952856984904692,-0.7192630796504199,-0.218258062637149,0.501003333645231,-0.7478995076244362,-0.7151452335746885,V,VISA Inc.,,,
2021-01-11,-0.8201681912632086,-0.7635517892097036,-0.7718833746275195,-0.7041516247329079,-0.7261966183695211,0.0181570331453136,-0.8639256407104129,-0.7673711710513711,-0.7261582527224232,V,VISA Inc.,,,
2021-01-12,-0.9440867009471154,-0.8965988259286465,-0.8407678362182952,-0.8686610281130062,-0.7796864361480592,0.5749327348541605,-1.3559283658207075,-0.8135361782894186,-0.7480834632530603,V,VISA Inc.,,,
2021-01-13,-0.9290207801355724,-0.8804217046906966,-0.9003341586770317,-0.8305708645186227,-0.8764295043679291,-0.1688700739336349,0.1293114543793751,-0.8443227390964171,-0.7665670535068555,V,VISA Inc.,,,
2021-01-14,-1.1593315518660054,-1.1276979671534733,-0.8933456812712095,-1.0571412505544635,-0.8381282777654341,1.5756093675084384,-2.532033748704668,-0.9260713547539904,-0.8055121151066273,V,VISA Inc.,,,
2021-01-15,-1.167634123090595,-1.136611932223867,-1.157901416951089,-1.0998284683039388,-1.1362830381284346,0.4126699753872305,-0.1278297801259655,-0.9894974288097188,-0.8417149156696543,V,VISA Inc.,,,
2021-01-19,-1.1654811550334097,-1.1343006990086697,-1.1276188611472384,-1.1116490352387562,-1.086425241903885,0.6988670381306712,-0.0102062436117719,-1.0365186370216226,-0.8744195688122856,V,VISA Inc.,,,
